annee,categorie,effectifs_homme,effectifs_femme
2016,Officier de gendarmerie,5818,472
2016,Officier du corps technique et administratif,282,265
2016,Sous-officier de gendarmerie,64614,9842
2016,Sous-officier du corps de soutien technique et administratif de la gendarmerie,1993,2700
2016,Gendarme adjoint volontaire,8853,4095
2016,Personnel civil,2078,2093
2017,Officier de gendarmerie,5675,511
2017,Officier du corps technique et administratif,292,281
2017,Sous-officier de gendarmerie,64533,10394
2017,Sous-officier du corps de soutien technique et administratif de la gendarmerie,1915,2683
2017,Gendarme adjoint volontaire,8790,4061
2017,Personnel civil,2059,2226
2018,Officier de gendarmerie,5611,546
2018,Officier du corps technique et administratif,301,314
2018,Sous-officier de gendarmerie,64299,10920
2018,Sous-officier du corps de soutien technique et administratif de la gendarmerie,1924,2841
2018,Gendarme adjoint volontaire,8635,4059
2018,Personnel civil,2124,2376
2019,Officier de gendarmerie,5600,585
2019,Officier du corps technique et administratif,304,322
2019,Sous-officier de gendarmerie,64121,11632
2019,Sous-officier du corps de soutien technique et administratif de la gendarmerie,1914,3002
2019,Gendarme adjoint volontaire,8733,3981
2019,Personnel civil,2182,2481
2020,Officier de gendarmerie,5515,625
2020,Officier du corps technique et administratif,298,344
2020,Sous-officier de gendarmerie,63719,12258
2020,Sous-officier du corps de soutien technique et administratif de la gendarmerie,1885,3149
2020,Gendarme adjoint volontaire,8852,3826
2020,Personnel civil,2134,2544
2021,Officier de gendarmerie,5461,649
2021,Officier du corps technique et administratif,313,353
2021,Sous-officier de gendarmerie,63488,12914
2021,Sous-officier du corps de soutien technique et administratif de la gendarmerie,1870,3202
2021,Gendarme adjoint volontaire,9011,3959
2021,Personnel civil,,
